REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2009,35,3.44681,3.71969,3713,X,3982,13114,X,541,21350,1358,573972
National,X,2009,36,4.05315,3.94975,4087,X,4547,13407,X,520,22561,1367,571201
National,X,2009,37,4.26621,4.08756,4445,X,5668,15326,X,652,26091,1380,638302
National,X,2009,38,4.21579,4.01897,4462,X,5252,14152,X,588,24454,1313,608464
National,X,2009,39,4.8861,4.60362,4974,X,6090,16291,X,564,27919,1331,606458
National,X,2009,40,6.06923,5.66087,9302,8554,X,27406,2255,903,48420,2056,855346
National,X,2009,41,7.09467,6.81522,11527,10271,X,32585,2800,1013,58196,2134,853912
National,X,2009,42,7.7151,7.61889,13187,12399,X,39364,3048,1070,69068,2162,906536
National,X,2009,43,7.55134,7.38836,13174,12166,X,36860,3083,1128,66411,2167,898860
National,X,2009,44,6.67118,6.33927,12161,10250,X,30860,2672,1074,57017,2197,899425
National,X,2009,45,5.20633,4.94349,10151,8174,X,21112,2314,978,42729,2191,864348
National,X,2009,46,4.04477,3.80996,8979,6163,X,14652,1843,883,32520,2157,853552
National,X,2009,47,3.49722,3.44106,7716,4378,X,8237,1406,771,22508,2146,654101
National,X,2009,48,2.69023,2.66773,7195,4259,X,7988,1470,818,21730,2122,814550
National,X,2009,49,2.47119,2.47183,6490,3588,X,7218,1314,715,19325,2093,781811
National,X,2009,50,2.44773,2.345,6275,3249,X,5785,1113,659,17081,2014,728401
National,X,2009,51,2.64594,2.71435,6078,2677,X,4127,1049,644,14575,1934,536961
National,X,2009,52,2.61567,2.67667,6598,3202,X,3726,1284,803,15613,1937,583299
National,X,2010,1,1.90712,1.98284,4998,3333,X,3961,1244,763,14299,1996,721138
National,X,2010,2,1.86738,1.82749,4877,2793,X,4614,1182,622,14088,2016,770895
National,X,2010,3,1.88072,1.92606,5399,2693,X,5079,1008,578,14757,2053,766177
National,X,2010,4,1.96908,1.92495,5333,2560,X,5655,1046,528,15122,2026,785580
National,X,2010,5,2.11387,2.08877,5816,2581,X,6142,948,550,16037,1996,767773
National,X,2010,6,2.09695,2.03434,5496,2644,X,5577,1006,658,15381,1977,756068
National,X,2010,7,1.90294,1.97649,5388,2649,X,5536,994,498,15065,1954,762208
National,X,2010,8,1.96951,1.99362,5040,2943,X,6207,1218,679,16087,1990,806925
National,X,2010,9,1.92331,1.85383,4281,2763,X,5685,1085,672,14486,1953,781411
National,X,2010,10,1.89659,1.8673,4612,2660,X,5270,1112,700,14354,1946,768702
National,X,2010,11,1.75181,1.69987,4063,2468,X,4466,976,628,12601,1933,741293
National,X,2010,12,1.52632,1.49741,3625,2097,X,4108,827,534,11191,1917,747358
National,X,2010,13,1.49572,1.45112,3408,1954,X,3733,736,528,10359,1875,713863
National,X,2010,14,1.22313,1.20715,3090,1718,X,2933,644,428,8813,1850,730068
National,X,2010,15,1.17754,1.17415,3117,1572,X,3110,598,404,8801,1831,749563
National,X,2010,16,1.09112,1.16207,2921,1461,X,3044,522,414,8362,1765,719580
National,X,2010,17,1.11958,1.17213,3081,1435,X,2972,557,395,8440,1755,720054
National,X,2010,18,1.08169,1.12168,2781,1385,X,2901,482,365,7914,1710,705551
National,X,2010,19,1.12497,1.14981,2851,1363,X,2645,491,347,7697,1664,669414
National,X,2010,20,1.06197,1.13328,2816,1364,X,2553,498,372,7603,1624,670887
National,X,2010,21,1.08909,1.08171,2636,1235,X,2188,445,349,6853,1497,633532
National,X,2010,22,1.1776,1.19959,2413,1212,X,2172,463,335,6595,1421,549773
National,X,2010,23,0.97493,0.952808,2147,1081,X,1831,374,322,5755,1435,604004
National,X,2010,24,0.987132,0.916032,1975,978,X,1784,339,240,5316,1405,580329
National,X,2010,25,0.995991,0.926582,2027,882,X,1779,397,249,5334,1384,575664
National,X,2010,26,0.904726,0.86962,1754,862,X,1541,323,238,4718,1347,542536
National,X,2010,27,0.941927,0.903133,1753,816,X,1566,334,222,4691,1353,519414
National,X,2010,28,0.880415,0.773776,1458,819,X,1450,298,209,4234,1284,547187
National,X,2010,29,0.842615,0.742774,1323,759,X,1335,335,198,3950,1265,531790
National,X,2010,30,0.858382,0.730934,1290,805,X,1279,302,174,3850,1250,526723
National,X,2010,31,0.83383,0.786882,1381,839,X,1357,291,209,4077,1241,518121
National,X,2010,32,0.847437,0.763051,1378,809,X,1307,300,214,4008,1212,525260
National,X,2010,33,0.888273,0.841043,1485,883,X,1592,360,198,4518,1225,537190
National,X,2010,34,0.765372,0.791573,1520,811,X,1592,295,202,4420,1235,558382
National,X,2010,35,0.91858,0.912732,1564,1019,X,1866,354,204,5007,1170,548573
National,X,2010,36,1.01432,1.03398,1850,1076,X,1959,374,234,5493,1198,531250
National,X,2010,37,1.01233,0.934009,1720,1061,X,2118,358,253,5510,1210,589930
National,X,2010,38,1.11803,1.08189,2134,1291,X,2510,480,326,6741,1206,623077
