"","lon","lat"
"1",-74.4173877,40.8652865
"3",-102.4107493,34.2331373
"5",-118.1479208,34.1469288
"7",-83.9811014,34.1140497
"8",-74.417097,40.7598227
"9",-75.6971931,45.4215296
"13",-85.6023643,44.3148443
"14",-111.8314724,33.4151843
"16",-70.6692655,-33.4488897
"21",-78.183406,-1.831239
"22",-4.097899,47.997542
"23",-3.435973,55.378051
"26",-74.6329363,40.5695474
"29",-95.971261,36.153315
"32",-93.2650108,44.977753
"35",-70.9170683,-53.1638329
"36",13.404954,52.5200066
"37",-2.2426305,53.4807593
"41",-102.5094301,22.7691161
"42",-79.5940544,-2.1387682
"43",-106.4850217,31.7618778
"44",14.2681244,40.8517746
"45",139.7319925,35.7090259
"46",-80.0942087,26.9342246
"49",-73.6483294,-37.6097143
"50",-66.590149,18.220833
"51",-82.3940104,34.8526176
"52",-70.6261335,-33.4375834
"55",-70.3975022,-23.6509279
"56",-1.61778,54.978252
"57",-80.2331036,26.1275862
"58",-100.3161126,25.6866142
"59",-77.0368707,38.9071923
"60",-93.3708567,37.2191474
"62",112.5721881,-7.1550291
"63",-111.8872095,40.9805865
"64",13.645676,42.3442912
"67",-71.542969,-35.675147
"70",-102.552784,23.634501
"71",7.8973228,51.7600942
"72",12.56738,41.87194
"73",-70.6692655,-33.4488897
"75",-66.9036063,10.4805937
"84",16.3738189,48.2081743
"86",-89.3985283,40.6331249
"87",-76.1788391,40.1798165
"90",-70.6692655,-33.4488897
"96",10.1227651,54.3232927
"97",-79.3831843,43.653226
"102",-71.0588801,42.3600825
"104",-86.7816016,36.1626638
"107",-106.346771,56.130366
"110",-81.1637245,33.836081
"111",11.2558136,43.7695604
"112",-73.1149469,-40.5761897
"114",-74.0059728,40.7127753
"115",-73.0347204,-36.8331141
"116",-84.3879824,33.7489954
"117",-79.0747996,43.0922705
"118",-71.1275212,-33.3977192
"120",-90.0348139,34.9553719
"121",-0.1277583,51.5073509
"122",-70.9170683,-53.1638329
"124",-74.0059728,40.7127753
"126",34.851612,31.046051
"128",4.8314121,52.189052
"130",-94.5875135,39.0389474
"134",-5.3415477,36.162253
"136",-76.527449,39.098944
"137",-79.333333,44.766667
"138",3.1628837,41.9179145
"139",16.440503,40.866438
"141",-70.6692655,-33.4488897
"142",-70.7208115,-32.75
"143",-77.4360481,37.5407246
"144",-92.4801989,44.0121221
"145",3.8911304,51.5046455
"148",-74.072092,4.7109886
"150",-70.6415277,-33.4791771
"151",-111.4712375,40.5119048
"154",-70.9353723,-53.153799
"155",-90.230759,15.783471
"156",11.02988,50.9847679
"157",9.189982,45.4642035
"158",-72.331113,-36.9777206
"160",-61.9928026,45.6226605
"163",-72.1023351,-36.6062618
"164",9.1306499,45.4677863
"165",18.1750161,40.3515155
"166",2.1734035,41.3850639
"168",13.3612671,38.1156879
"170",-77.0909809,38.8816208
"171",85.8245398,20.2960587
"175",-60.3233499,-36.8937167
"176",5.3220544,60.3912628
"177",73.8567437,18.5204303
"180",12.4963655,41.9027835
"181",-99.0477903,19.6009074
"182",8.6949231,50.0294877
"184",91.8932535,25.5787726
"185",9.1216613,39.2238411
"188",-70.6093325,-33.4314474
"192",-115.1745559,36.1023715
"197",-2.58791,51.454513
"198",-76.8449341,39.1674643
"199",13.2422683,43.7037824
"203",-66.590149,18.220833
"204",4.8949191,52.3747422
"210",-78.771424,38.964102
"211",-102.552784,23.634501
"213",9.189982,45.4642035
"214",11.4978895,48.7904472
"217",8.4645331,44.298387
"218",2.213749,46.227638
"221",-73.567256,45.5016889
"222",12.5683372,55.6760968
"226",14.245408,40.9971057
"228",-97.1416798,32.8388091
"229",11.3426162,44.494887
"230",-73.6399416,40.6372462
"233",-102.552784,23.634501
"235",9.7655136,48.9998717
"236",139.8835651,36.565725
"237",8.6724335,49.3987524
"241",-72.5903739,-38.7359018
"245",-111.8910474,40.7607793
"246",176.6989753,-38.0846351
"248",8.675277,9.081999
"250",113.921327,-0.789275
"252",8.946256,44.4056499
"253",-70.1356692,-20.2307033
"254",-95.712891,37.09024
"256",-122.6764815,45.5230622
"258",7.0115552,51.4556432
"259",2.295753,49.894067
"260",7.0115552,51.4556432
"261",106.8340911,-6.1864864
"264",-1.2577263,51.7520209
"265",9.189982,45.4642035
"266",11.6603917,45.2254915
"267",32.8597419,39.9333635
"269",15.0830304,37.5078772
"272",-120.8958242,38.8375215
"274",14.0153557,37.5999938
"275",-3.188267,55.953252
"276",14.5965622,40.9592707
"277",-107.3940117,24.8090649
"278",-5.5670959,42.5987263
"279",-102.5832426,22.7708555
"281",101.3801441,4.4721201
"282",-116.5452921,33.8302961
"283",-70.5992005,-33.4851471
"284",-71.1097335,42.3736158
"285",-106.2800242,43.4113604
"286",-79.3370188,43.8561002
"287",-67.824918,-9.9753837
"288",-103.3496092,20.6596988
"289",-103.3494376,20.6595382
"290",-102.552784,23.634501
"291",139.7319925,35.7090259
"292",-96.5716694,39.1836082
"294",-99.133208,19.4326077
"296",-0.0804836,51.5273935
"300",-85.323214,51.253775
"302",-73.2452103,-39.8195857
"304",-104.990251,39.7392358
"305",-96.1420947,18.0809028
"306",-122.2711137,37.8043637
"307",-119.2920585,36.3302284
"308",121.0359174,14.5794443
"310",-111.8910474,40.7607793
"313",-97.1383744,49.895136
"315",14.7680961,40.6824408
"321",-71.5500276,-33.0153481
"323",-7.3299766,43.1491458
"325",-79.0867579,43.8384117
"327",-121.7405167,38.5449065
"329",0.290472,50.768035
"335",-76.6121893,39.2903848
"336",-78.9058527,35.9443735
"338",-75.6042364,1.6153858
"340",-80.2269902,43.524189
"343",-99.133208,19.4326077
"344",-70.1356692,-20.2307033
"345",-94.7976958,29.3013479
"346",-98.4184224,37.6143744
"347",-122.2055884,47.76095
"350",110.3694896,-7.7955798
"352",133.775136,-25.274398
"354",-81.2141914,43.0021981
"355",10.9254728,50.6843502
"358",-114.0708459,51.0486151
"359",-91.2445494,43.8031114
"360",-108.985882,25.7904657
"362",-66.4758583,18.433005
"365",-97.1705678,32.8234621
"369",-58.443832,-23.442503
"374",-76.2177046,43.106456
"379",-86.8515279,21.161908
"381",-120.5542012,43.8041334
"382",-78.6228504,-1.2543408
"384",-95.712891,37.09024
"387",-64.183316,10.431916
"388",-83.0457538,42.331427
"389",-87.9645077,41.8500302
"390",144.9630576,-37.8136276
"391",-2.591543,56.559107
"392",-73.0443904,-36.8201352
"395",-103.3496092,20.6596988
"397",-122.0651819,37.9100783
"400",-2.2380335,51.8642112
"401",80.2707184,13.0826802
"402",-70.9993754,42.2236502
"403",-77.1527578,39.0839973
"404",-81.9320482,34.9495672
"405",-100.3161126,25.6866142
"406",-80.8486846,35.4993031
"407",139.6917064,35.6894875
"408",-71.6484804,-35.4232444
"409",-115.1398296,36.1699412
"411",-97.750585,30.157255
"412",-94.1632404,45.5579451
"414",10.451526,51.165691
"415",-97.6744838,38.5736176
"416",-93.7379667,36.4012037
"419",12.3007062,47.9067682
"421",-70.6692655,-33.4488897
"422",-91.8318334,37.9642529
"427",-90.2915132,43.2233214
"428",7.6868565,45.070312
"432",-74.072092,4.7109886
"439",-95.712891,37.09024
"440",-70.1356692,-20.2307033
"441",-78.1210327,0.3697668
"443",151.225364,-33.889067
"446",-79.5394625,43.8430176
"448",-93.6091064,41.6005448
"454",-73.7567459,40.7435843
"455",11.5819805,48.1351253
"456",-93.9993996,44.1635775
"458",11.4978895,48.7904472
"461",-77.0368707,38.9071923
"463",8.1632444,52.1089416
"464",139.6987557,35.6615117
"465",13.9005015,51.72805
"466",12.2423302,51.8308166
"469",13.5094648,52.4253121
"472",10.451526,51.165691
"476",8.5556826,40.7259269
"478",-77.4291005,39.4352789
"479",34.851612,31.046051
"480",9.1216613,39.2238411
"482",-95.9931758,36.7525914
"483",13.2739435,52.454918
"484",-84.2807329,30.4382559
"485",-99.133208,19.4326077
"487",-83.0262121,40.110773
"489",-116.5765035,53.9332706
"494",-71.2519374,-29.9026691
"496",-70.6504896,-33.4375545
"497",-77.0368707,38.9071923
"498",23.7275388,37.9838096
"499",-93.0899578,44.9537029
"501",-78.4448055,-1.4702027
"505",-113.7173037,52.475399
