"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"GlobalAcadCME","Devoted to educating and updating healthcare providers about diseases and conditions  relevant.
Test your knowledge and Earn CME! https://t.co/dWsuiaC7eK",674,1921,188,1137,"https://t.co/cyIviDhKdM","Global Academy CME",2009-04-17 18:06:36,FALSE,FALSE,"GlobalAcadCME","Parsippany, NJ","en","32502850",51,FALSE,"http://pbs.twimg.com/profile_images/740941579347714048/_XCAyHjF_normal.jpg"
"picardonhealth","Andr√© Picard is the health columnist at The Globe and Mail. I tweet and RT about health issues, running and journalism. RTs not endorsements, etc.",94071,70743,594,1505,"http://t.co/VMj9wZWseA","Andr√© Picard",2011-02-15 22:51:18,FALSE,TRUE,"picardonhealth","Montr√©al","en","252794509",2354,FALSE,"http://pbs.twimg.com/profile_images/933428646253129728/iSEOlcA3_normal.jpg"
"SurfingAnimals","Our favorite viral and trending stories and news about animals #pets #wildlife #nature",42452,864,165,130,NA,"Surfing Animals",2014-08-15 01:11:45,FALSE,FALSE,"SurfingAnimals","Earth","en","2733306169",57,FALSE,"http://pbs.twimg.com/profile_images/601034592066392064/XQ1P2eZc_normal.png"
"riri000197","",2454,24,2837,67,NA,"riri",2015-12-23 07:19:58,FALSE,FALSE,"riri000197","","it","4576031421",0,FALSE,"http://pbs.twimg.com/profile_images/679567011110883328/ysOmhZUZ_normal.jpg"
"FluTrackers","Est. 2006- We are a 503(c)(3)non profit charity of volunteers from many countries who document disease & human rights. Following does not imply endorsement.",85514,6424,0,403,"http://t.co/M4OYQbiiIP","FluTrackers.com",2009-01-16 21:48:44,FALSE,FALSE,"FluTrackers","International Website","en","19087092",413,FALSE,"http://pbs.twimg.com/profile_images/71518489/GlobeOnly_normal.gif"
"MCSPuertoRico","Buscamos proveer cuidado genuino para alcanzar una vida m√°s plena.",440,574,206,45,"https://t.co/pkTzPc0u0g","MCSPuertoRico",2017-07-13 12:28:53,FALSE,FALSE,"MCSPuertoRico","Puerto Rico","en","885476121936109568",2,FALSE,"http://pbs.twimg.com/profile_images/970730244717105152/Sx3Nh-xf_normal.jpg"
"MSDAnimalHealth","Official handle of MSD Animal Health. Tweeting about animal health and well-being.",198,5413,13,18,"https://t.co/n4969LNRsl","MSD Animal Health",2017-05-23 20:09:15,FALSE,FALSE,"MSDAnimalHealth","Global","en","867110196698644481",4,FALSE,"http://pbs.twimg.com/profile_images/871776672864804865/E6_Eo7tK_normal.jpg"
"MerckAH","Official Twitter handle of Intervet Inc. DBA Merck Animal Health. Intended for US residents only. The Science of Healthier Animals. http://t.co/VHDJwTr7ex",1676,13224,830,161,"http://t.co/lJr4ZJNfiR","Merck Animal Health",2011-04-19 08:21:38,FALSE,FALSE,"MerckAH","Madison, NJ USA","en","284434513",137,FALSE,"http://pbs.twimg.com/profile_images/638705129223553024/2V4mwUCz_normal.png"
"OTT_CPmedic","#Ottawa #CommunityParamedics #Param√©dicsCommunautaire
#Paramedic #Param√©dic 
Account not monitored 24/7.
Cette page n‚Äôest pas surveill√©e 24/7.",260,124,204,90,NA,"CommunityParamedics",2017-12-11 19:50:38,FALSE,FALSE,"OTT_CPmedic","Ottawa, Ontario","en","940307857689387008",3,FALSE,"http://pbs.twimg.com/profile_images/965591169181847558/_qTJLu5Y_normal.jpg"
"carolyn_doctor","M√©dico Infect√≥logo HUC. Editora web Sociedad Venezolana de Infectolog√≠a",17726,857,283,502,NA,"Carolyn Redondo",2014-02-20 21:35:15,FALSE,FALSE,"carolyn_doctor","Venezuela","es","2353811328",10,FALSE,"http://pbs.twimg.com/profile_images/436619551665422336/ny_g3hBF_normal.jpeg"
"DACHGermany","DACH Schutzbekleidung GmbH & Co. KG ist ein inhabergef√ºhrtes, mittelst√§ndisches Unternehmen mit Sitz in Rastatt, spezialisiert auf Einwegschutzkleidung.",88,17,32,65,"http://t.co/IahpoCjdEj","DACH Schutzbekleidung",2015-06-15 10:12:13,FALSE,FALSE,"DACHGermany","Rastatt, Deutschland","de","3326705884",4,FALSE,"http://pbs.twimg.com/profile_images/943525745866964992/DxspYAX__normal.jpg"
"_Foreverisa_","calma na alma",14566,308,4650,174,"https://t.co/6Uw5U64RJU","Ì†ºÌºû",2012-07-16 10:47:29,FALSE,FALSE,"_Foreverisa_","wonderland","pt","636873071",4,FALSE,"http://pbs.twimg.com/profile_images/958431400037961729/35RHNtad_normal.jpg"
"JanyreTromp","Storyteller, #Editor for @KregelBooks, woman of faith, lover of history, hunter of beauty. Member of #ACFW. #amwriting #historicalfiction #WWII #Burma",4436,2731,7836,2496,"https://t.co/X8JIp2M5Rw","Janyre Tromp",2009-12-28 19:29:53,FALSE,FALSE,"JanyreTromp","Michigan","en","100027817",78,FALSE,"http://pbs.twimg.com/profile_images/664258886749261825/zl9lKfF3_normal.jpg"
"ArtBellCom","Tweets by Keith Rowland, webmaster of https://t.co/6pjTyfFOlc.",8495,17054,24,144,NA,"Midnight In The Desert",2013-06-19 05:23:39,FALSE,FALSE,"ArtBellCom","Mesa, AZ","en","1529771940",231,FALSE,"http://pbs.twimg.com/profile_images/651983451462066176/PTKg2bF6_normal.png"
"thelyonsking","Grounds superintendent of Wasatch School District. Former assistant golf course superintendent, graduate of Utah State University. Tweets are my own.",59,17,36,97,"https://t.co/vcuvdVtmIV","Matt Lyons",2018-01-24 04:33:52,FALSE,FALSE,"thelyonsking","Utah","en","956022213299273728",0,FALSE,"http://pbs.twimg.com/profile_images/956157634347872256/EcioO39L_normal.jpg"
"pablo_videla","Hola, hola ...soy de vi√±a y me vine a vivir s stgo , feliz por la vida .. ahh tambien soy ingeniero, unas vacaciones no me vendr√≠an mal",83839,5253,5298,5605,NA,"Pablo Videla",2009-08-14 18:13:11,FALSE,FALSE,"pablo_videla","santiago, chile","es","65696828",54,FALSE,"http://pbs.twimg.com/profile_images/965944205565718529/owdwlE3k_normal.jpg"
"HHQI","Free resources, data reports, virtual events, and assistance to improve the quality of home health care. Following and RTs do not equal endorsements.",1752,450,93,76,"http://t.co/PI3HobivWM","HHQI Campaign",2009-11-12 20:45:57,FALSE,FALSE,"HHQI","","en","89536216",20,FALSE,"http://pbs.twimg.com/profile_images/428257384276828161/6l1rl5g7_normal.jpeg"
"nadiezda61","desperate housewife",9359,742,29540,758,NA,"Nadia Corona",2016-01-28 12:25:37,FALSE,FALSE,"nadiezda61","Trentino","it","4857022889",42,FALSE,"http://pbs.twimg.com/profile_images/942465024156749829/jGIeqPJO_normal.jpg"
"freckledpedidoc","Pediatric Hospitalist, #tweetiatrician, @UMich alumnus & Citizen of the Ì†ºÌºé. Tweets represent my views & RTs ‚â† endorsements.",11898,1345,18304,657,NA,"Anika Kumar, MD",2012-12-04 16:11:30,FALSE,FALSE,"freckledpedidoc","Cleveland, OH","en","989075401",46,FALSE,"http://pbs.twimg.com/profile_images/955657346524565504/eEIAsf0V_normal.jpg"
"monioportuszu","M√©dico anest√©siologa, siempre MGZ. En la Salud p√∫blica x convicci√≥n, buscando nuevos desafios y aventuras",411,66,560,432,NA,"Monica Oportus",2016-10-13 19:21:10,FALSE,FALSE,"monioportuszu","Santiago, Chile","es","786647986570924032",0,FALSE,"http://pbs.twimg.com/profile_images/786655233984397313/xDCNGwTo_normal.jpg"
"Famar67","",5322,38,3552,41,NA,"famar67",2013-02-26 14:13:53,FALSE,FALSE,"Famar67","","it","1221869059",0,FALSE,"http://pbs.twimg.com/profile_images/3311210993/3d0626f1aae7a5860dd32d3bdfc1c1db_normal.jpeg"
"perci1983","",6033,132,10432,86,NA,"Brendan Quinn",2014-03-05 19:25:03,FALSE,FALSE,"perci1983","Ireland","en","2374239506",0,FALSE,"http://pbs.twimg.com/profile_images/714881319814225920/K8YEu9-u_normal.jpg"
"Mayte_Araujo","Viajar en mis tiempos libres, disfruto mucho la naturaleza y tambien la fiesta ejejeÌ†ΩÌ∏ä me encanta la fotograf√≠a. A veces soy una loca pero no me importa Ì†æÌ¥∑‚Äç‚ôÄÔ∏èÌ†æÌ¥£",6894,1163,3114,1829,NA,"Mayte Araujo",2015-04-13 18:02:50,FALSE,FALSE,"Mayte_Araujo","Ecuador","es","3153278342",5,FALSE,"http://pbs.twimg.com/profile_images/905592072564035584/A740bz-D_normal.jpg"
"CoteQuimper","L'hebdomadaire gratuit C√¥t√© Quimper : des loisirs, des bons plans, de l'actualit√© locale, du sport... Chaque mercredi dans plus de 130 points de distribution.",7227,4178,97,309,"https://t.co/5J4GlSeSuK","C√¥t√© Quimper",2012-05-22 13:04:52,FALSE,FALSE,"CoteQuimper","Quimper","fr","587407772",103,FALSE,"http://pbs.twimg.com/profile_images/679695006781829125/Q2sJ78JU_normal.png"
"the_ens","Certified Rollerblading Information Systems Professional Offensive Reiki Specialist for Rummery Research. Every retweet is an endorsement for Carlos Matos.",1363,627,3243,320,NA,"ens",2013-09-14 21:36:19,FALSE,FALSE,"the_ens","United Kingdom","en","1865088512",19,FALSE,"http://pbs.twimg.com/profile_images/732131379266392064/kMSx9x5P_normal.jpg"
"ECDC_EU","The European Centre for Disease Prevention and Control. We aim at strengthening #Europe's defences against infectious diseases.",5026,21257,489,89,"http://t.co/HzZhkGX9HG","ECDC",2010-10-19 11:51:29,FALSE,TRUE,"ECDC_EU","Stockholm, Sweden","en","204752573",647,FALSE,"http://pbs.twimg.com/profile_images/791269606996443136/9oft8kxO_normal.jpg"
